bezirke,bezirke-href,bezirkname,Wahlvorschlag,Kandidat(in),Stimmen,Stimmenanteil in %
11800 - Äuß. Neust. (Schönbrunn-/​Ebersw. Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-11800-uneustschnbrunn-eberswstr_gesamt.html,,Ungültige,,5,"0,8"
05300 - Friedrichstadt (Friedrichstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-05300-friedrichstadtfriedrichstr_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",263,"51,7"
42800 - Rochwitz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-42800-rochwitz_gesamt.html,,AfD,"Vogel, Stefan",16,"4,4"
76500 - Strehlen (Eugen-Bracht-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-76500-strehleneugen-bracht-str_gesamt.html,01100 - Innere Altstadt,,,,
75002 - Leubnitz-Neuostra-2,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-75002-leubnitz-neuostra-2_gesamt.html,,AfD,"Vogel, Stefan",52,"7,1"
76001 - Strehlen 1,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-76001-strehlen1_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",182,"34,5"
64500 - Großzschachwitz (Schweizstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-64500-grozschachwitzschweizstr_gesamt.html,,Gültige,,517,"98,5"
94102 - Naußlitz (Rhönweg),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-94102-naulitzrhnweg_gesamt.html,,Gültige,,339,"98,5"
98401 - Briesnitz (Gottfried-Keller-Platz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-98401-briesnitzgottfried-keller-platz_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",99,"27,7"
06500 - Johannstadt-Nord (Th.-Müntzer-Platz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-06500-johannstadt-nordth-mntzer-platz_gesamt.html,,Die PARTEI,"Stosch, Lars",19,"2,9"
98300 - Briesnitz (Zschonerallee),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-98300-briesnitzzschonerallee_gesamt.html,,Festerling,"Festerling, Tatjana",88,"16,7"
97100 - Gorbitz-Nord (Omsewitzer Ring),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-97100-gorbitz-nordomsewitzerring_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",120,"26,1"
57002 - Gruna-2,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-57002-gruna-2_gesamt.html,,Festerling,"Festerling, Tatjana",34,"4,5"
54600 - Striesen-West (Altstriesen),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-54600-striesen-westaltstriesen_gesamt.html,,CDU,"Ulbig, Markus",102,"16,3"
53100 - Johannstadt-Südost (Anton-Graff-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-53100-johannstadt-sdostanton-graff-str_gesamt.html,,Ungültige,,6,"1,1"
22502 - Mickten (Sternstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-22502-micktensternstr_gesamt.html,,Die PARTEI,"Stosch, Lars",29,"5,3"
24300 - Trachau (Stephanstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-24300-trachaustephanstr_gesamt.html,,CDU,"Ulbig, Markus",83,"16,7"
93400 - Löbtau-Süd (Zauckeroder Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-93400-lbtau-sdzauckeroderstr_gesamt.html,01100 - Innere Altstadt,,,,
53400 - Johannstadt-Südost (Lipsiusstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-53400-johannstadt-sdostlipsiusstr_gesamt.html,,Die PARTEI,"Stosch, Lars",1,"0,2"
11602 - Äußere Neustadt (Martin-Luther-Platz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-11602-uereneustadtmartin-luther-platz_gesamt.html,,AfD,"Vogel, Stefan",5,"0,8"
75201 - Leubnitz (Wilhelm-Franke-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-75201-leubnitzwilhelm-franke-str_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",129,29
14200 - Leipziger Vorstadt (Rudolfstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-14200-leipzigervorstadtrudolfstr_gesamt.html,,Die PARTEI,"Stosch, Lars",55,8
86300 - Plauen (Regensburger Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-86300-plauenregensburgerstr_gesamt.html,01100 - Innere Altstadt,,,,
76600 - Strehlen (H.-Lohmar-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-76600-strehlenh-lohmar-str_gesamt.html,,Festerling,"Festerling, Tatjana",51,"13,6"
98100 - Stetzsch,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-98100-stetzsch_gesamt.html,,Ungültige,,13,"2,2"
72000 - Prohlis-Süd,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-72000-prohlis-sd_gesamt.html,,Ungültige,,7,"1,4"
96600 - Gorbitz-Ost (Leutewitzer Ring-West),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-96600-gorbitz-ostleutewitzerring-west_gesamt.html,,Ungültige,,3,"0,7"
56900 - Seidnitz (Ulberndorfer Weg),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-56900-seidnitzulberndorferweg_gesamt.html,01100 - Innere Altstadt,,,,
52001 - Striesen-Ost-1,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-52001-striesen-ost-1_gesamt.html,,Die PARTEI,"Stosch, Lars",12,"1,4"
90312 - Gohlis-West,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-90312-gohlis-west_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",103,"28,6"
36410 - OS Schönborn,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-36410-osschnborn_gesamt.html,,AfD,"Vogel, Stefan",16,"6,4"
55102 - Tolkewitz (Theodorstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-55102-tolkewitztheodorstr_gesamt.html,,Ungültige,,4,"0,8"
86300 - Plauen (Regensburger Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-86300-plauenregensburgerstr_gesamt.html,,Ungültige,,4,"0,7"
62101 - Laubegast (Sudetenstr.)/​Alttolkewitz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-62101-laubegastsudetenstralttolkewitz_gesamt.html,,Gültige,,284,99
95200 - Gorbitz-Süd (Wölfnitzer Ring-Ost),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-95200-gorbitz-sdwlfnitzerring-ost_gesamt.html,,AfD,"Vogel, Stefan",17,"7,3"
31602 - Klotzsche (Königswald-Mitte),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-31602-klotzscheknigswald-mitte_gesamt.html,,AfD,"Vogel, Stefan",30,"6,2"
73300 - Niedersedlitz (Windmühlenstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-73300-niedersedlitzwindmhlenstr_gesamt.html,01100 - Innere Altstadt,,,,
42900 - Neu-Rochwitz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-42900-neu-rochwitz_gesamt.html,,AfD,"Vogel, Stefan",16,"5,9"
04300 - Wilsdruffer Vorstadt (Maternistr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-04300-wilsdruffervorstadtmaternistr_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",152,"34,2"
"51100 - Blasewitz (Händel-, Mendelssohnallee)",http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-51100-blasewitzhndel-mendelssohnallee_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",170,30
53800 - Striesen-Süd (Glashütter Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-53800-striesen-sdglashtterstr_gesamt.html,,Ungültige,,8,"1,8"
86400 - Plauen (Nöthnitzer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-86400-plauennthnitzerstr_gesamt.html,,CDU,"Ulbig, Markus",66,"14,1"
62102 - Laubegast (Kirchplatz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-62102-laubegastkirchplatz_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",159,"36,1"
62200 - Laubegast (Burgenlandstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-62200-laubegastburgenlandstr_gesamt.html,,Ungültige,,9,"1,7"
92000 - Löbtau-Nord,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-92000-lbtau-nord_gesamt.html,,Ungültige,,4,"0,5"
90010 - Cossebaude/​Mobschatz/​Oberwartha,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-90010-cossebaudemobschatzoberwartha_gesamt.html,,Die PARTEI,"Stosch, Lars",10,"1,4"
45510 - Weißig (Bergstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-45510-weiigbergstr_gesamt.html,,Die PARTEI,"Stosch, Lars",4,"1,8"
47210 - Schullwitz/​Eschdorf/​Rossendorf,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-47210-schullwitzeschdorfrossendorf_gesamt.html,,Gültige,,404,99
84501 - Altmockritz/​Altpestitz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-84501-altmockritzaltpestitz_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",195,"29,9"
15100 - Albertstadt-West,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-15100-albertstadt-west_gesamt.html,,AfD,"Vogel, Stefan",10,"2,6"
54400 - Striesen-West (Löscherstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-54400-striesen-westlscherstr_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",173,"31,1"
22300 - Trachau-Süd (Dreyßigplatz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-22300-trachau-sddreyigplatz_gesamt.html,,AfD,"Vogel, Stefan",18,"4,5"
77300 - Reick (Lübbenauer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-77300-reicklbbenauerstr_gesamt.html,,Die PARTEI,"Stosch, Lars",10,"3,7"
14600 - Leipziger Vorstadt (Oberer Hecht),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-14600-leipzigervorstadtobererhecht_gesamt.html,,AfD,"Vogel, Stefan",25,5
14100 - Leipziger Vorstadt (Eisenbahnstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-14100-leipzigervorstadteisenbahnstr_gesamt.html,,CDU,"Ulbig, Markus",21,"7,6"
72300 - Prohlis-Süd (Senftenberger Str.-Süd),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-72300-prohlis-sdsenftenbergerstr-sd_gesamt.html,,Gültige,,299,"97,7"
11800 - Äuß. Neust. (Schönbrunn-/​Ebersw. Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-11800-uneustschnbrunn-eberswstr_gesamt.html,,AfD,"Vogel, Stefan",8,"1,3"
52400 - Striesen-Ost (Dornblüthstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-52400-striesen-ostdornblthstr_gesamt.html,,Festerling,"Festerling, Tatjana",29,"4,1"
56501 - Seidnitz (Liebenauer Str),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-56501-seidnitzliebenauerstr_gesamt.html,,AfD,"Vogel, Stefan",16,"4,9"
43400 - Oberpoyritz/​Söbrigen,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-43400-oberpoyritzsbrigen_gesamt.html,,Ungültige,,2,"0,6"
12000 - Radeberger Vorstadt,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-12000-radebergervorstadt_gesamt.html,,Die PARTEI,"Stosch, Lars",20,"2,2"
90110 - Cossebaude-Nord,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-90110-cossebaude-nord_gesamt.html,,Gültige,,539,"99,4"
12000 - Radeberger Vorstadt,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-12000-radebergervorstadt_gesamt.html,,Ungültige,,6,"0,6"
11300 - Äußere Neustadt (Jordanstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-11300-uereneustadtjordanstr_gesamt.html,,Festerling,"Festerling, Tatjana",33,"4,9"
46210 - Pappritz-West,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-46210-pappritz-west_gesamt.html,,AfD,"Vogel, Stefan",28,6
91502 - Cotta (Hölderlinstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-91502-cottahlderlinstr_gesamt.html,,Festerling,"Festerling, Tatjana",47,"11,6"
31002 - Klotzsche-2,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-31002-klotzsche-2_gesamt.html,,AfD,"Vogel, Stefan",30,"4,4"
04100 - Wilsdruffer Vorstadt (Ostra-Allee),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-04100-wilsdruffervorstadtostra-allee_gesamt.html,,Die PARTEI,"Stosch, Lars",15,"4,6"
71000 - Prohlis-Nord,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-71000-prohlis-nord_gesamt.html,01100 - Innere Altstadt,,,,
52702 - Striesen-Ost (Lauensteiner Str.-Süd),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-52702-striesen-ostlauensteinerstr-sd_gesamt.html,,Die PARTEI,"Stosch, Lars",11,"2,6"
06600 - Johannstadt-Nord (Gutenbergstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-06600-johannstadt-nordgutenbergstr_gesamt.html,01100 - Innere Altstadt,,,,
42100 - Weißer Hirsch,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-42100-weierhirsch_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",180,"31,5"
03000 - Seevorstadt-Ost/​Strehlen-Nordwest,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-03000-seevorstadt-oststrehlen-nordwest_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",283,"38,4"
63301 - Meußlitz-Nord,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-63301-meulitz-nord_gesamt.html,,Gültige,,535,"98,7"
64500 - Großzschachwitz (Schweizstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-64500-grozschachwitzschweizstr_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",115,"22,2"
95500 - Gorb.-Süd (Altgorb.Ring-Mitt/​Hirtenstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-95500-gorb-sdaltgorbring-mitthirtenstr_gesamt.html,,Gültige,,466,"99,1"
84100 - Kleinpestitz (Muldaer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-84100-kleinpestitzmuldaerstr_gesamt.html,,Ungültige,,5,"0,9"
83200 - Zschertnitz (Böllstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-83200-zschertnitzbllstr_gesamt.html,,Festerling,"Festerling, Tatjana",29,"10,6"
75201 - Leubnitz (Wilhelm-Franke-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-75201-leubnitzwilhelm-franke-str_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",168,"37,8"
46110 - Gönnsdorf,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-46110-gnnsdorf_gesamt.html,01100 - Innere Altstadt,,,,
81002 - Südvorstadt-West-2,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-81002-sdvorstadt-west-2_gesamt.html,,AfD,"Vogel, Stefan",28,"3,7"
61800 - Leuben (Rottwerndorfer Str.)/​Dobritz-Süd,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-61800-leubenrottwerndorferstrdobritz-sd_gesamt.html,01100 - Innere Altstadt,,,,
99310 - Pennrich,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-99310-pennrich_gesamt.html,,Gültige,,536,"99,4"
56002 - Seidnitz-Mitte,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-56002-seidnitz-mitte_gesamt.html,,Festerling,"Festerling, Tatjana",40,"6,7"
31500 - Klotzsche (Königswald-Süd),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-31500-klotzscheknigswald-sd_gesamt.html,,Festerling,"Festerling, Tatjana",59,"11,8"
81400 - Südvorstadt-West (Schnorrstr.-West),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-81400-sdvorstadt-westschnorrstr-west_gesamt.html,,CDU,"Ulbig, Markus",117,"19,8"
23300 - Kaditz (Altkaditz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-23300-kaditzaltkaditz_gesamt.html,,CDU,"Ulbig, Markus",97,"20,4"
25002 - Pieschen-Nord-2/​Trachenberge,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-25002-pieschen-nord-2trachenberge_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",237,"43,2"
36310 - Heidehof,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-36310-heidehof_gesamt.html,,CDU,"Ulbig, Markus",56,"14,9"
91000 - Cotta,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-91000-cotta_gesamt.html,,AfD,"Vogel, Stefan",57,"5,9"
56200 - Seidnitz (Schilfweg),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-56200-seidnitzschilfweg_gesamt.html,,Die PARTEI,"Stosch, Lars",4,"1,3"
83002 - Zschertnitz-2,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-83002-zschertnitz-2_gesamt.html,01100 - Innere Altstadt,,,,
41300 - Oberloschwitz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-41300-oberloschwitz_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",149,"38,4"
94200 - Wölfnitz/​Naußlitz-West,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-94200-wlfnitznaulitz-west_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",164,"33,3"
13100 - Innere Neustadt (Königstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-13100-innereneustadtknigstr_gesamt.html,,Festerling,"Festerling, Tatjana",23,"5,3"
24300 - Trachau (Stephanstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-24300-trachaustephanstr_gesamt.html,,Festerling,"Festerling, Tatjana",47,"9,5"
55101 - Tolkewitz (Wehlener Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-55101-tolkewitzwehlenerstr_gesamt.html,01100 - Innere Altstadt,,,,
76001 - Strehlen 1,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-76001-strehlen1_gesamt.html,01100 - Innere Altstadt,,,,
24700 - Trachau (Richard-Rösch-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-24700-trachaurichard-rsch-str_gesamt.html,,Gültige,,356,"98,1"
57001 - Gruna-1/​Strehlen-Nordost,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-57001-gruna-1strehlen-nordost_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",355,"37,8"
82200 - Südvorstadt-Ost (Uhlandstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-82200-sdvorstadt-ostuhlandstr_gesamt.html,,Festerling,"Festerling, Tatjana",39,9
94501 - Dölzschen-Nord,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-94501-dlzschen-nord_gesamt.html,,Gültige,,473,"99,8"
11700 - Äußere Neustadt (Frühlingstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-11700-uereneustadtfrhlingstr_gesamt.html,,AfD,"Vogel, Stefan",8,"1,1"
21100 - Stadt Neudorf (Weimarische Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-21100-stadtneudorfweimarischestr_gesamt.html,,AfD,"Vogel, Stefan",10,"2,2"
56600 - Seidnitz (Rennplatzstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-56600-seidnitzrennplatzstr_gesamt.html,,AfD,"Vogel, Stefan",15,"5,2"
76400 - Strehlen (Geystr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-76400-strehlengeystr_gesamt.html,,Die PARTEI,"Stosch, Lars",3,"1,4"
52400 - Striesen-Ost (Dornblüthstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-52400-striesen-ostdornblthstr_gesamt.html,,AfD,"Vogel, Stefan",20,"2,8"
11300 - Äußere Neustadt (Jordanstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-11300-uereneustadtjordanstr_gesamt.html,,Die PARTEI,"Stosch, Lars",52,"7,7"
06001 - Johannstadt-Nord-1,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-06001-johannstadt-nord-1_gesamt.html,,Gültige,,516,"99,2"
74301 - Nickern (Altnickern)/​Kauscha,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-74301-nickernaltnickernkauscha_gesamt.html,,Festerling,"Festerling, Tatjana",89,"13,7"
76002 - Strehlen 2,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-76002-strehlen2_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",222,44
46010 - Gönnsdorf/​Pappritz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-46010-gnnsdorfpappritz_gesamt.html,01100 - Innere Altstadt,,,,
76500 - Strehlen (Eugen-Bracht-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-76500-strehleneugen-bracht-str_gesamt.html,,AfD,"Vogel, Stefan",30,"5,8"
76100 - Strehlen (August-Bebel-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-76100-strehlenaugust-bebel-str_gesamt.html,,Festerling,"Festerling, Tatjana",31,"6,1"
13400 - Äußere Neustadt (Hoyerswerdaer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-13400-uereneustadthoyerswerdaerstr_gesamt.html,01100 - Innere Altstadt,,,,
72500 - Prohlis-Süd (Spreewalder Str.-Süd),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-72500-prohlis-sdspreewalderstr-sd_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",93,"27,1"
31002 - Klotzsche-2,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-31002-klotzsche-2_gesamt.html,,CDU,"Ulbig, Markus",85,"12,4"
94102 - Naußlitz (Rhönweg),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-94102-naulitzrhnweg_gesamt.html,01100 - Innere Altstadt,,,,
05000 - Friedrichstadt,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-05000-friedrichstadt_gesamt.html,01100 - Innere Altstadt,,,,
54100 - Striesen-West (Krenkelstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-54100-striesen-westkrenkelstr_gesamt.html,,Ungültige,,4,"0,6"
72100 - Prohlis-Süd (Spremberger Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-72100-prohlis-sdsprembergerstr_gesamt.html,,Die PARTEI,"Stosch, Lars",4,"1,2"
91102 - Cotta (Omsewitzer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-91102-cottaomsewitzerstr_gesamt.html,,Ungültige,,1,"0,3"
93101 - Löbtau-Süd (Schillingplatz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-93101-lbtau-sdschillingplatz_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",238,"45,2"
31602 - Klotzsche (Königswald-Mitte),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-31602-klotzscheknigswald-mitte_gesamt.html,,Gültige,,482,"99,2"
"51100 - Blasewitz (Händel-, Mendelssohnallee)",http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-51100-blasewitzhndel-mendelssohnallee_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",212,"37,5"
82500 - Südvorstadt-Ost (Wundtstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-82500-sdvorstadt-ostwundtstr_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",55,17
86600 - Plauen (Kantstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-86600-plauenkantstr_gesamt.html,,AfD,"Vogel, Stefan",25,"5,8"
21200 - Stadt Neudorf (Moritzburger Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-21200-stadtneudorfmoritzburgerstr_gesamt.html,,Gültige,,504,"98,6"
25400 - Pieschen-Nord (Trachenberger Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-25400-pieschen-nordtrachenbergerstr_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",216,"36,5"
